FileName,path,exists,ok,n_frames_prop,width,height,fps,first_frame_ok,error,FrameHeight,FrameWidth,FPS,NumberOfFrames,res_outlier,meta_mismatch
0X100009310A3BD7FC,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X100009310A3BD7FC.avi,True,True,174,112,112,50.0,True,,112,112,50,174,False,False
0X1002E8FBACD08477,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X1002E8FBACD08477.avi,True,True,215,112,112,50.0,True,,112,112,50,215,False,False
0X1005D03EED19C65B,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X1005D03EED19C65B.avi,True,True,104,112,112,50.0,True,,112,112,50,104,False,False
0X10075961BC11C88E,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X10075961BC11C88E.avi,True,True,122,112,112,55.0,True,,112,112,55,122,False,False
0X10094BA0A028EAC3,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X10094BA0A028EAC3.avi,True,True,207,112,112,52.0,True,,112,112,52,207,False,False
0X100CF05D141FF143,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X100CF05D141FF143.avi,True,True,248,112,112,50.0,True,,112,112,50,248,False,False
0X100E3B8D3280BEC5,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X100E3B8D3280BEC5.avi,True,True,101,112,112,38.0,True,,112,112,38,101,False,False
0X100E491B3CD58DE2,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X100E491B3CD58DE2.avi,True,True,226,112,112,50.0,True,,112,112,50,226,False,False
0X100F044876B98F90,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X100F044876B98F90.avi,True,True,221,112,112,50.0,True,,112,112,50,221,False,False
0X101026B90DAE7E95,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X101026B90DAE7E95.avi,True,True,147,112,112,64.0,True,,112,112,64,147,False,False
0X1012703CDC1436FE,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X1012703CDC1436FE.avi,True,True,201,112,112,50.0,True,,112,112,50,201,False,False
0X1013E8A4864781B,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X1013E8A4864781B.avi,True,True,140,112,112,47.0,True,,112,112,47,140,False,False
0X1018521A3BC5CDBA,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X1018521A3BC5CDBA.avi,True,True,162,112,112,50.0,True,,112,112,50,162,False,False
0X101C388397F66EDB,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X101C388397F66EDB.avi,True,True,183,112,112,50.0,True,,112,112,50,183,False,False
0X101CFC9C5351DCBE,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X101CFC9C5351DCBE.avi,True,True,123,112,112,50.0,True,,112,112,50,123,False,False
0X101E654AF3FC07A8,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X101E654AF3FC07A8.avi,True,True,151,112,112,47.0,True,,112,112,47,151,False,False
0X10267ADF2E644E0,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X10267ADF2E644E0.avi,True,True,200,112,112,50.0,True,,112,112,50,200,False,False
0X102AE9C68B2C46DA,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X102AE9C68B2C46DA.avi,True,True,169,112,112,52.0,True,,112,112,52,169,False,False
0X102C51641C321436,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X102C51641C321436.avi,True,True,133,112,112,50.0,True,,112,112,50,133,False,False
0X102DD1B9BE03716,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X102DD1B9BE03716.avi,True,True,212,112,112,50.0,True,,112,112,50,212,False,False
0X102CFB07F752AAE6,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X102CFB07F752AAE6.avi,True,True,217,112,112,54.0,True,,112,112,54,217,False,False
0X102E94908346DE1D,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X102E94908346DE1D.avi,True,True,151,112,112,67.0,True,,112,112,67,151,False,False
0X102F3D4CD5E10801,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X102F3D4CD5E10801.avi,True,True,199,112,112,58.0,True,,112,112,58,199,False,False
0X102E453603FA1440,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X102E453603FA1440.avi,True,True,185,112,112,50.0,True,,112,112,50,185,False,False
0X10365E52F01510B4,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X10365E52F01510B4.avi,True,True,109,112,112,33.0,True,,112,112,33,109,False,False
0X1039108E17193B1C,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X1039108E17193B1C.avi,True,True,233,112,112,50.0,True,,112,112,50,233,False,False
0X1039B49145DF4F25,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X1039B49145DF4F25.avi,True,True,154,112,112,50.0,True,,112,112,50,154,False,False
0X103A55B2546EF36E,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X103A55B2546EF36E.avi,True,True,335,112,112,50.0,True,,112,112,50,335,False,False
0X1040C376CF369A01,C:\Users\dviya\Desktop\Component_03\Dilukshan\Dataset\Videos\0X1040C376CF369A01.avi,True,True,125,112,112,50.0,True,,112,112,50,125,False,False
